n_features,n_samples,embedding_dim,sigma_theta,sigma_Z,sample_cov_SSE,sample_cov_RMSE,ledoit_wolf_SSE,ledoit_wolf_RMSE,latent_model_SSE,latent_model_RMSE
100,50,10,0.0,1.0,21285.99679264339,1.4589721310787054,17666.30789264317,1.32914663948878,58862.28319026555,2.426155048430862
100,50,10,0.0,1.0,20861.591732639583,1.4443542409201275,19321.88588229657,1.3900318659043964,61999.48980311044,2.4899696745765887
100,50,10,0.0,1.0,14187.85966112935,1.191128022553804,17114.25579197397,1.3082146533338468,73331.86379512791,2.707985668262074
100,50,10,0.0,1.0,19155.654920159137,1.3840395557988627,17952.39169325584,1.3398653549239876,57071.11938656604,2.388956244609056
100,50,10,0.0,1.0,22010.10588328601,1.4835803275618749,17501.85039161613,1.3229455919128397,53047.482577111405,2.303203911448385
100,50,10,0.0,1.0,22064.95807693188,1.485427819752003,21735.25717652214,1.474288207119698,62342.607618732814,2.49685016808644
100,50,10,0.0,1.0,22818.22995231412,1.5105704204807573,13690.064772196254,1.170045502200502,59218.28711717664,2.4334807810454686
100,50,10,0.0,1.0,21981.13966703494,1.482603779404158,19436.837705639584,1.3941605971207045,73001.45386668389,2.701878122097366
100,50,10,0.0,1.0,22935.85033316828,1.5144586601544554,16774.433313703026,1.295161507832248,57770.46767553967,2.403548786181376
100,50,10,0.0,1.0,16812.43414873242,1.296627708663224,16646.68785793889,1.290220440775098,57369.0833702064,2.3951844056399167
100,50,10,0.1,1.0,18396.20061825786,1.3563259423257326,18659.930914081742,1.3660135765826686,120099.07200115827,3.465531301274861
100,50,10,0.1,1.0,15602.90455928706,1.2491158696969251,16657.803785992677,1.290651145197364,114344.12469265956,3.3814808101283016
100,50,10,0.1,1.0,20697.79744974248,1.4386729110448446,16693.233979357567,1.2920229866127604,105710.1409458386,3.2513095968523
100,50,10,0.1,1.0,17701.352935201576,1.3304643150119275,17460.639295650366,1.3213871232780483,122304.97792536736,3.497212860627265
100,50,10,0.1,1.0,18854.798633570063,1.3731277665814663,17722.76762189787,1.3312688542100677,132705.60690634474,3.6428780779260888
100,50,10,0.1,1.0,19166.80813691251,1.3844424197817875,15511.856296333151,1.2454660290964643,120876.68285610565,3.476732415014214
100,50,10,0.1,1.0,16367.234738965495,1.2793449393719232,16863.755637920294,1.2986052378579216,107480.10523173504,3.2784158557409264
100,50,10,0.1,1.0,16051.736673960171,1.266954485131971,15008.020288156336,1.2250722545285375,104634.51850011163,3.234725931205172
100,50,10,0.1,1.0,22459.43625219952,1.4986472651094225,17309.337617737747,1.3156495588772013,117697.1785367274,3.430702239144741
100,50,10,0.1,1.0,29332.056480892046,1.7126604006892912,24410.93720691838,1.5623999874205832,134086.1467114385,3.661777528898204
100,50,10,1.0,1.0,19462.949515129785,1.3950967534594072,19126.00821777699,1.382968120304188,92492.35758599952,3.041255622041651
100,50,10,1.0,1.0,17121.904465231644,1.3085069531810538,19551.69602333101,1.3982737937661207,101338.04643021004,3.1833637308703824
100,50,10,1.0,1.0,18809.727162415613,1.3714855873254963,15002.660724860549,1.2248534902126271,76577.63123772586,2.767266362996628
100,50,10,1.0,1.0,23412.81081827676,1.5301245314769891,26219.67581018944,1.6192490793633152,103438.921040034,3.2161921746070155
100,50,10,1.0,1.0,15320.44011654284,1.237757654653884,15182.743997560332,1.2321827785503388,94597.55069963576,3.0756714827763343
100,50,10,1.0,1.0,14110.743420615749,1.1878865021800589,13952.394126270216,1.1812025282004022,92164.83803420172,3.0358662360881725
100,50,10,1.0,1.0,14489.336209545085,1.203716586640937,16126.46095102374,1.2699000335075097,93443.49569090198,3.0568528863997035
100,50,10,1.0,1.0,21374.994885263364,1.462018976801032,19015.88613302043,1.378981005417422,102741.52740053716,3.2053319235382967
100,50,10,1.0,1.0,18176.89475891008,1.3482171471580562,19782.30331463671,1.406495763045048,108814.88206230398,3.298710082173091
100,50,10,1.0,1.0,34966.681853267306,1.8699380164397776,26467.645801271923,1.6268880047892642,100065.87306113022,3.1633190332486265
100,50,10,10.0,1.0,21094.22354996636,1.4523850574130248,25207.78006528216,1.587695816750871,259037.3350028197,5.089571052680371
100,50,10,10.0,1.0,20638.488778687937,1.4366102038718764,22766.46091017023,1.5088558880877336,454577.00143570255,6.742232578572936
100,50,10,10.0,1.0,5984.093542070718,0.7735692303905786,4763.31754199445,0.6901679173936189,82282.77476150104,2.8684974248114816
100,50,10,10.0,1.0,178384.63041444632,4.223560469727483,214100.6404430512,4.627101041073679,1305576.7097781366,11.426183570108334
100,50,10,10.0,1.0,46126.694573092864,2.147712610501993,38598.18736427992,1.964642139532793,369352.84636490507,6.077440632082761
100,50,10,10.0,1.0,14698.304307697548,1.21236563410951,19847.20222076873,1.4088009873920704,175372.0710753217,4.187744871351665
100,50,10,10.0,1.0,19001.45719603912,1.3784577322514866,13610.88937683903,1.1666571637305894,141227.33665329329,3.758022573818488
100,50,10,10.0,1.0,30551.102550339365,1.7478873690927386,17974.425068590557,1.3406873262841923,334690.41841420386,5.785243455674133
100,50,10,10.0,1.0,64938.79474009566,2.5483091401966056,43030.857649278216,2.074388045889154,490714.8157397485,7.005103965964734
100,50,10,10.0,1.0,20942.77487354338,1.4471618732382143,15042.24044921262,1.22646811818378,473189.1336771897,6.878874425930376
5,50,10,1.0,1.0,47.25818292579931,1.3748917473866709,55.159307920725205,1.4853862517301712,111.57880457063963,2.112617377289505
5,50,10,1.0,1.0,36.15221398637448,1.20253422381859,60.06201279913994,1.5499937135245414,225.98697722429367,3.0065726482112067
5,50,10,1.0,1.0,25.70869227239621,1.0140747955135498,37.409588307364565,1.2232675636566934,51.71577914524057,1.438273675560261
5,50,10,1.0,1.0,3.2873577342645697,0.3626214408588973,14.128512672338516,0.7517582769039133,34.96005728941454,1.1825406088488386
5,50,10,1.0,1.0,46.6026008792332,1.36532195293613,47.70865355959317,1.3814290218406906,136.55693797444997,2.337151582370729
