Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,131809897.99854317,-1410.2556012860596,-289538.8054976374,-56142231.570769474,203213.1081509074,4.507916460527053
100,4112452.7561453967,-1408.113941204405,-966790.8069601604,-3126602.5687911143,200833.51260512372,4.481445220072692
200,2934410.1791346166,-1406.746457225637,-885262.9093984948,-2039722.8732668122,198874.31212258118,4.459532622625169
300,2319938.0992960413,-1405.359411309649,-818972.42181411,-1494883.8006454557,197072.03368154383,4.439279600132706
400,1942476.839298188,-1403.89876966038,-768092.3596839062,-1169954.39025115,195434.4928834286,4.420797358887065
500,1692476.0758986333,-1402.4273288664124,-730600.5790897874,-958425.3541864151,193966.49631384775,4.404162761681811
600,1519466.6056195851,-1400.9879661565637,-705104.8342354918,-811510.9750579015,192649.10647966512,4.38918109081484
700,1394503.7576907843,-1399.5955933486675,-687769.9550464535,-704270.372859485,191461.87301407693,4.375635645412872
800,1298973.1952908272,-1398.2543728397632,-673924.1478886084,-622788.9900428373,190383.18141477366,4.363292121950737
900,1222721.6754841036,-1396.9590297000923,-661912.2610377246,-558748.2467189366,189394.9047756591,4.351952490269843
1000,1160335.6896121523,-1395.703692834872,-651481.4470044983,-506902.1208290451,188483.41563628922,4.3414676739127005
1100,1109098.2148894959,-1394.4821617107673,-643325.0249867904,-463921.0871308552,187636.1068949167,4.3316983608616715
1200,1066789.906121897,-1393.2920558660853,-637362.8578165565,-427623.0996634979,186842.3052343581,4.322525942482681
1300,1030985.4169573713,-1392.1234450150669,-632660.4990765972,-396610.56222620467,186095.10586147482,4.3138741968383245
1400,1000869.665531999,-1390.9724657781226,-629308.028011375,-369899.77357978607,185388.53674393898,4.305676912448713
1500,975296.8794816607,-1389.8359291144332,-626961.9916112125,-346696.1228108052,184717.51935680758,4.297877608271405
1600,952632.5159913081,-1388.7082011439884,-624718.8234032356,-326355.9384728376,184076.80657316837,4.29041730573109
1700,932402.5208606233,-1387.5915004818808,-622424.5188541724,-308400.01104510366,183463.04828241147,4.2832586693125565
1800,913504.0888052419,-1386.4812283322444,-619528.2112851787,-292426.28134470724,182873.91118335357,4.276375932765426
1900,896217.8559276995,-1385.3784196199488,-616539.1057618099,-278114.93173485354,182305.97785625744,4.269730411352193
2000,879940.4002253218,-1384.2813346342796,-613204.4950412072,-265202.67974617134,181757.81734233428,4.2633064321291085
2100,864192.5531465143,-1383.1856769870615,-609206.5287702314,-253464.00311107398,181227.171042594,4.257078470531098
2200,849169.3980405026,-1382.0930255947587,-604914.8719615036,-242710.63356217477,180712.99931905328,4.251035160041063
2300,834618.8713370773,-1381.003346525061,-600302.2102237565,-232784.06068317062,180214.9469562337,4.245173105495626
2400,820791.6289966555,-1379.9151435593355,-595703.2663739134,-223562.6943562997,179731.34352210507,4.239473357884267
2500,807964.7050306223,-1378.8335231394542,-591493.6669868547,-214963.76272101447,179261.7317678569,4.233931172891885
2600,796713.4181161183,-1377.7542897495928,-588295.3817058818,-206942.17877269286,178804.52905050563,4.228528456218615
2700,786987.1941118559,-1376.6778268700775,-586050.8880273798,-199463.07193877082,178358.41667837318,4.2232501308633505
2800,778110.4157675793,-1375.6050465883732,-584169.0804912997,-192497.97225515012,177922.83224900143,4.218089997249956
2900,770435.0235847059,-1374.5355446737615,-582968.4310515057,-186012.50464492862,177497.03571071115,4.213039706799726
3000,763300.9962000233,-1373.467559647788,-581881.9960535828,-179977.83703834692,177080.1585526727,4.2080893354665445
3100,756915.1071063769,-1372.401342147924,-581116.2364102612,-174361.98667780153,176672.12985384074,4.203238392642522
3200,751221.2834832608,-1371.3378571173816,-580656.3298289631,-169135.92855908145,176271.73038133953,4.198472703035465
3300,745748.8131092233,-1370.2767404325236,-580048.4271144281,-164267.79832393004,175879.03571047002,4.1937934583199254
3400,740544.4916695266,-1369.2170914385893,-579399.7034310556,-159727.36097859556,175493.092098585,4.1891895648034945
3500,735722.1842875715,-1368.1582736399305,-578827.1757112667,-155490.71544102038,175113.08249279246,4.184651508701683
3600,731111.9016211687,-1367.1021149705762,-578172.7027761562,-151531.4934693576,174739.17941356116,4.180181567989133
3700,726423.896076597,-1366.046534590735,-577191.8862852172,-147828.60591847036,174371.34372029704,4.1757794927450025
3800,721869.1679994775,-1364.99285965176,-576100.225022687,-144359.82312722865,174008.86495703965,4.171436982108678
3900,717241.8205431001,-1363.9439824592378,-574729.5246218246,-141101.87865561678,173651.7626071577,4.167154456066604
4000,712671.5882420448,-1362.8959425641485,-573228.2936986837,-138029.59028075763,173299.7192116068,4.162928286814548
4100,707740.3018888573,-1361.8507744579586,-571209.7734737931,-135113.924149395,172952.9192373334,4.158760863975393
4200,702783.2465957007,-1360.8086715637883,-569047.5907002934,-132318.73397754572,172610.4136020498,4.154640942392613
4300,697463.8229258712,-1359.7689062216093,-566445.2703840382,-129603.77773482399,172272.36644288123,4.150570640802074
4400,692095.5525604998,-1358.731801041067,-563757.7492809702,-126923.90869840235,171938.61714067726,4.146548168545464
4500,686955.6089206778,-1357.6973654102694,-561306.8325003235,-124246.74577304124,171608.40077030897,4.142564432453754
4600,682056.8984368799,-1356.6648076182012,-559099.149493226,-121563.46243861908,171281.7662002353,4.138620134782063
4700,677321.7121357989,-1355.634155357185,-557021.6033595435,-118903.05144988153,170958.02850533713,4.134707105773481
4800,673126.511619714,-1354.6056720241718,-555447.7779332394,-116291.96865414965,170636.3901005617,4.130815780212929
4900,669786.4759218947,-1353.5802426448258,-554666.3317520632,-113731.09582466885,170317.86686296124,4.126958527329313
5000,667282.5118752122,-1352.5685713602638,-554669.1329626075,-111260.81034124436,170006.1918478638,4.123180712118545
