Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,185060432.16225496,-1410.282130226709,-37505.172366558356,-80069795.48498863,671419.5511753083,8.194019472611156
100,3168106.829027412,-1408.9315350600095,-39897.116520099866,-3100233.293132145,667975.5744836341,8.172977269536688
200,1746151.1321210195,-1405.6871921205275,-39968.97316680149,-1697030.4440880944,665003.6111462923,8.154775356478515
300,1210675.18302372,-1399.4862170464921,-39970.18930685953,-1165668.4797671272,662433.3699066417,8.139000982348152
400,936486.9288665489,-1393.4010921405234,-40012.29431316509,-893032.5472568162,660052.6346491709,8.124362342049812
500,772770.5059173134,-1387.7699196311046,-40067.1912235497,-730014.1531177764,657760.1238160168,8.11024120366353
600,664389.2456716842,-1382.5581850383353,-40122.40430743067,-621984.2541911511,655518.0871558997,8.09640714858078
700,587047.3424725079,-1377.7180123004348,-40174.33460023915,-544831.6886561456,653307.1963050809,8.08274208610593
800,528634.7419124609,-1373.2107255701997,-40222.19255429133,-486525.70526544773,651115.9808936863,8.069175799879975
900,482591.50927923986,-1369.0059840569509,-40266.011130814586,-440544.1572628209,648937.1207314729,8.055663354010475
1000,445118.1123971753,-1365.0808930788721,-40306.03553109028,-403106.7949583652,646765.5458876991,8.04217349904676
1100,413875.4138651761,-1361.419131675671,-40342.538396676704,-371884.85666420945,644597.3950927331,8.028682302175948
1200,387339.2048108311,-1358.0098290620144,-40375.768007300154,-345360.0055900387,642429.5112118531,8.015170061900452
1300,364465.23597968125,-1354.846191391015,-40405.93850192059,-322491.493658332,640259.2628922423,8.001620229005137
1400,344507.8839543956,-1351.9241435899407,-40433.233049375835,-302535.8930804344,638084.5286091974,7.988019332783301
1500,326917.0652577972,-1349.2410902133274,-40457.810159723536,-284944.5584227904,635903.7343231402,7.9743572425816245
1600,311276.4107080336,-1346.7948912049987,-40479.81023022676,-269302.0942929741,633715.8893269,7.9606274207935455
1700,297264.25439375703,-1344.5829940944495,-40499.361484547866,-255287.50948664005,631520.6017055972,7.946827050500075
1800,284627.9435499325,-1342.601736480318,-40516.58524904824,-242648.6246285447,629318.0732915975,7.93295703563052
1900,273166.33433845476,-1340.845830348157,-40531.600489232325,-231184.6284195199,627109.0792041523,7.919021904276765
2000,262717.53179155,-1339.3075092771228,-40544.527255841036,-220733.857009547,624894.936558213,7.905029642943871
2100,253150.09802397664,-1337.9766814817915,-40555.48899576268,-211165.02798852586,622677.4628005351,7.89099146369159
2200,244356.6045156871,-1336.8399770242765,-40564.61345125353,-202370.8119046665,620458.9231198408,7.876921499671307
2300,236248.79450437758,-1335.8817547628187,-40572.031986086695,-194263.00767239733,618241.9635852139,7.86283640669965
2400,228753.8576408006,-1335.0828939229,-40577.878215350844,-186768.82891456282,616029.5273146987,7.848754852297899
2500,221811.4770956728,-1334.4224557153943,-40582.284622608866,-179827.9592757721,613824.7527864447,7.834696884924424
2600,215371.4136868709,-1333.8776038819642,-40585.378449413794,-173390.14521361765,611630.8521717091,7.820683168187477
2700,209391.47370792954,-1333.4252396071277,-40587.277250829495,-167413.1700167131,609450.9755920748,7.806734116082571
2800,203835.76659994698,-1333.0413017507233,-40588.0823771276,-161861.11992643392,607288.0688061357,7.792868976225226
2900,198673.2223492234,-1332.70320813044,-40587.883045198985,-156702.90064726325,605144.727628359,7.779104881850859
3000,193876.3529341878,-1332.3915322884839,-40586.74990880237,-151911.00383989708,603023.0668977064,7.765455987240585
3100,189420.2882750988,-1332.088372047735,-40584.74645113325,-147460.53446049851,600924.6161932455,7.7519327666927405
3200,185282.04318042024,-1331.7847710771237,-40581.905655635135,-143328.50213135878,598850.2529959567,7.7385415486120905
3300,181440.123538923,-1331.468164423625,-40578.29972979012,-139493.36295872275,596800.1774171363,7.725284314619985
3400,177874.20628851012,-1331.1371847675578,-40573.97409313262,-135934.76432632093,594773.9348045636,7.7121588080417744
3500,174565.0561051038,-1330.7933515183702,-40568.968454747315,-132633.4361361474,592770.4740277041,7.699158876316969
3600,171494.4866276022,-1330.4399479118615,-40563.32489014471,-129571.16158096507,590788.2454757282,7.686275076236395
3700,168645.35041997465,-1330.0824525184667,-40557.0665469086,-126730.77242575063,588825.305626013,7.673495328896821
3800,166001.51696536408,-1329.7343723085917,-40550.189650994216,-124096.1382956712,586879.4507371725,7.660805771830875
3900,163547.8408825174,-1329.4033654640384,-40542.68143218096,-121652.13136452083,584948.3206844534,7.648191424673248
4000,161270.13442122916,-1329.0967516900118,-40534.534027345464,-119384.56942096149,583029.5134274432,7.635636931045389
4100,159155.080711292,-1328.8285476019987,-40525.73002419841,-117280.15004799746,581120.6644559043,7.623127077885455
4200,157190.19551929977,-1328.6056767086798,-40516.2890412351,-115326.36987784719,579219.5076340666,7.6106471974075065
4300,155363.74598383481,-1328.4360245077523,-40506.26868469852,-113511.43828968314,577323.9210142522,7.5981834737932745
4400,153664.63676698343,-1328.3247527974943,-40495.73728605101,-111824.19086578922,575431.9502134689,7.58572310471104
4500,152082.36157290888,-1328.2765918235737,-40484.788608598275,-110254.0294745979,573541.8057946737,7.5732542925394615
4600,150606.9715471374,-1328.2919132939876,-40473.537380240676,-108790.89609272608,571651.872175551,7.560766311529218
4700,149229.0902967256,-1328.3691769423344,-40462.12843986023,-107425.27625588159,569760.7292957893,7.548249659992625
4800,147939.82759415335,-1328.5069105971472,-40450.63229200915,-106148.21463422578,567867.118374354,7.535695842948771
4900,146730.89975167776,-1328.6981006950525,-40439.130268058136,-104951.36034307479,565969.9602546748,7.523097502057743
5000,145594.53994383872,-1328.9312821188685,-40427.735091885574,-103837.87356983428,564087.3772750628,7.510575059707899
