Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,13162220392.21909,-3712.860284208822,-1700673.4027705584,-5690842867.712995,2030367213.6818702,450.59596244106194
100,364760769.8386371,-3711.7870795537883,-6718663.165113226,-356456479.6005972,2023860616.5695775,449.87338402817073
200,265419979.37873906,-3710.85081390239,-7282287.78693016,-257500457.68875524,2017787421.8839767,449.1978875600347
300,217102228.0658623,-3709.9357910289277,-7655894.140466639,-209068865.6223831,2011903446.4343746,448.54246693422186
400,185687481.12859762,-3709.024380480648,-7912889.733680997,-177504385.61325294,2006165887.0109477,447.90243212232565
500,162119036.85423392,-3708.1103156088097,-8093250.85228507,-153812955.66967607,2000541253.6920617,447.2741054087595
600,143191155.60286176,-3707.190805858262,-8220612.265616591,-134795673.38183793,1995013150.9766445,446.65570084536535
700,127558718.30143182,-3706.2665009221296,-8309231.625139541,-119103454.39786062,1989573326.7364066,446.0463346712317
800,114505469.79632172,-3705.3370940624786,-8366756.102393518,-106015724.96201542,1984214786.9180288,445.44525891719036
900,103537388.12868164,-3704.4053428513,-8400441.592986582,-95032669.5038305,1978928140.5815523,444.85145167589957
1000,94263085.12105726,-3703.471423695625,-8415483.811722213,-85758552.65226679,1973705744.2608404,444.26408185456995
1100,86362453.04841472,-3702.5353924908222,-8414716.365086466,-77871053.81329337,1968551390.313649,443.6836023917999
1200,79580669.85911162,-3701.5984793866196,-8403667.640273977,-71110384.59994052,1963459693.2470758,443.1094326740379
1300,73714100.27664399,-3700.6620750648053,-8386163.1696624365,-65269444.82909314,1958431880.2101905,442.54173590862524
1400,68596745.86772971,-3699.7268875125474,-8360920.364403832,-60184356.56768688,1953467015.6674514,441.9804312034019
1500,64105266.62405964,-3698.7934775119775,-8334361.171456289,-55725221.04183196,1948560806.887951,441.4250567070193
1600,60132617.81319463,-3697.860856797359,-8302477.797317759,-51789052.24108657,1943716618.010509,440.87601635953285
1700,56600593.04837957,-3696.9292332237046,-8270726.560634341,-48292867.41421934,1938930362.8485088,440.33286986648045
1800,53439555.76631267,-3695.9993716855756,-8235921.678672985,-45169946.75782524,1934202231.8562653,439.7956607171412
1900,50597664.750092186,-3695.0703650400974,-8201070.902842748,-42365836.030338824,1929529387.6041536,439.264087719922
2000,48027902.15007455,-3694.143064558082,-8163729.887552912,-39836014.11642367,1924911132.8217766,438.7380918978631
2100,45695551.55803877,-3693.2165772951485,-8126039.502245108,-37543529.467468396,1920346423.4129026,438.2175742040593
2200,43567523.113631524,-3692.2913073754207,-8086027.169009761,-35457437.12882865,1915834193.1620345,437.7024323855231
2300,41620689.14380402,-3691.3678359520018,-8046452.331124325,-33552006.563017983,1911372242.724999,437.19243391497497
2400,39831213.05778789,-3690.4454209498945,-8005074.729384165,-31805264.20368924,1906959114.098139,436.6874298738331
2500,38182042.1230278,-3689.524239658398,-7963827.368096854,-30198687.488686927,1902592788.4095619,436.1872061866972
2600,36657814.264427915,-3688.604579885944,-7922840.500495151,-28716582.97698604,1898271246.2254226,435.6915475683941
2700,35243504.28375927,-3687.686515370167,-7880743.670877015,-27345371.413899876,1893992916.107254,435.2002890747262
2800,33929525.73111258,-3686.769169471436,-7839338.951176243,-26073387.521338567,1889757738.5617452,434.7134387802779
